Date,Product,Gross_Premium,Total_Incl_VAT,City,Payment_Status,Payment_Method,Policy_Start_Date,Policy_Term,Policy_Duration_Days,Policy_End_Date,Customer_ID
2025-10-04,Medical,899.0,1060.82,Dallas,Paid,Bank Transfer,2025-10-04,1Y,365,2026-10-03,CUST0051
2025-03-12,Motor,1020.0,1203.6,New York,Paid,Cash,2025-03-12,1Y,365,2026-03-11,CUST0052
2025-05-13,Motor,737.0,869.66,Los Angeles,Paid,Card,2025-05-13,1Y,365,2026-05-12,CUST0053
2025-06-19,Motor,844.0,995.92,Houston,Paid,Bank Transfer,2025-06-19,1Y,365,2026-06-18,CUST0054
2025-07-01,Travel,729.0,860.22,Houston,Pending,Card,2025-07-01,6M,180,2025-12-27,CUST0055
2025-01-16,Motor,1071.0,1263.78,Phoenix,Failed,Bank Transfer,2025-01-16,1Y,365,2026-01-15,CUST0056
2025-07-18,Motor,774.0,913.32,Chicago,Failed,Cash,2025-07-18,1Y,365,2026-07-17,CUST0057
2025-02-26,Travel,1028.0,1213.04,Atlanta,Paid,Card,2025-02-26,1Y,365,2026-02-25,CUST0058
2025-09-28,Other,776.0,915.68,Seattle,Paid,Card,2025-09-28,3M,90,2025-12-26,CUST0059
2025-09-06,Travel,829.0,978.22,Atlanta,Paid,Card,2025-09-06,1Y,365,2026-09-05,CUST0060
2025-12-02,Medical,943.0,1112.74,Miami,Paid,Cash,2025-12-02,6M,180,2026-05-30,CUST0061
2025-09-29,Travel,1033.0,1218.94,Miami,Refunded,Cash,2025-09-29,1Y,365,2026-09-28,CUST0062
2025-05-14,Other,771.0,909.78,Phoenix,Refunded,Cash,2025-05-14,3M,90,2025-08-11,CUST0063
2025-12-19,Medical,785.0,926.3,Chicago,,Card,2025-12-19,1Y,365,2026-12-18,CUST0064
2025-05-30,Other,1053.0,1242.54,Los Angeles,Paid,Online,2025-05-30,1Y,365,2026-05-29,CUST0065
2025-04-29,Other,829.0,978.22,Phoenix,Paid,Cash,2025-04-29,1Y,365,2026-04-28,CUST0066
2025-11-26,Other,784.0,925.12,New York,Paid,Card,2025-11-26,1Y,365,2026-11-25,CUST0067
2025-05-15,Motor,998.0,1177.64,New York,Refunded,Card,2025-05-15,1Y,365,2026-05-14,CUST0068
2025-01-28,Medical,736.0,868.48,Seattle,Paid,Bank Transfer,2025-01-28,1Y,365,2026-01-27,CUST0069
2025-06-20,Medical,1047.0,1235.46,New York,Paid,Card,2025-06-20,1Y,365,2026-06-19,CUST0070
2025-10-17,Travel,1051.0,1240.18,Houston,Paid,Card,2025-10-17,1Y,365,2026-10-16,CUST0071
2025-03-10,Motor,1043.0,1230.74,Phoenix,Paid,Card,2025-03-10,1Y,365,2026-03-09,CUST0072
2025-06-18,Other,818.0,965.24,New York,Paid,Card,2025-06-18,1Y,365,2026-06-17,CUST0073
2025-02-17,Other,745.0,879.1,Atlanta,Pending,Card,2025-02-17,1M,30,2025-03-18,CUST0074
2025-09-07,Motor,870.0,1026.6,New York,Paid,Card,2025-09-07,1Y,365,2026-09-06,CUST0075
2025-06-23,Travel,834.0,984.12,Atlanta,Paid,Online,2025-06-23,1Y,365,2026-06-22,CUST0076
2025-05-01,Medical,1084.0,1279.12,Dallas,Paid,Bank Transfer,2025-05-01,6M,180,2025-10-27,CUST0077
2025-03-24,Medical,953.0,1124.54,Los Angeles,Paid,Card,2025-03-24,1Y,365,2026-03-23,CUST0078
2025-07-25,Motor,1078.0,1272.04,New York,Paid,Cash,2025-07-25,1Y,365,2026-07-24,CUST0079
2025-09-01,Travel,1001.0,1181.18,Los Angeles,Paid,Bank Transfer,2025-09-01,1Y,365,2026-08-31,CUST0080
2025-12-09,Medical,986.0,1163.48,Chicago,,Card,2025-12-09,1Y,365,2026-12-08,CUST0081
2025-06-09,Medical,744.0,877.92,Los Angeles,Paid,Card,2025-06-09,1Y,365,2026-06-08,CUST0082
2025-02-28,Motor,727.0,857.86,Boston,Pending,Card,2025-02-28,1Y,365,2026-02-27,CUST0083
2025-10-31,Medical,718.0,847.24,Los Angeles,Pending,Bank Transfer,2025-10-31,6M,180,2026-04-28,CUST0084
2025-08-18,Medical,937.0,1105.66,Seattle,Failed,Bank Transfer,2025-08-18,1Y,365,2026-08-17,CUST0085
2025-09-12,Medical,780.0,920.4,New York,Paid,Card,2025-09-12,1Y,365,2026-09-11,CUST0086
2025-02-05,Medical,1096.0,1293.28,Boston,Pending,Bank Transfer,2025-02-05,1Y,365,2026-02-04,CUST0087
2025-04-24,Motor,753.0,888.54,Los Angeles,Paid,Online,2025-04-24,1Y,365,2026-04-23,CUST0088
2025-10-07,Travel,1079.0,1273.22,Chicago,Paid,Card,2025-10-07,6M,180,2026-04-04,CUST0089
2025-10-30,Medical,967.0,1141.06,Phoenix,Paid,Bank Transfer,2025-10-30,1Y,365,2026-10-29,CUST0090
2025-06-08,Medical,742.0,875.56,New York,Paid,Bank Transfer,2025-06-08,1Y,365,2026-06-07,CUST0091
2025-10-20,Other,723.0,853.14,Seattle,Pending,Cash,2025-10-20,1Y,365,2026-10-19,CUST0092
2025-11-03,Other,858.0,1012.44,Los Angeles,Paid,Cash,2025-11-03,6M,180,2026-05-01,CUST0093
2025-05-22,Other,835.0,985.3,Phoenix,Paid,Cash,2025-05-22,1Y,365,2026-05-21,CUST0094
2025-11-23,Motor,826.0,974.68,Phoenix,Refunded,Card,2025-11-23,1Y,365,2026-11-22,CUST0095
2025-04-15,Motor,911.0,1074.98,Phoenix,Paid,Card,2025-04-15,1Y,365,2026-04-14,CUST0096
2025-03-29,Medical,752.0,887.36,New York,Failed,Online,2025-03-29,1Y,365,2026-03-28,CUST0097
2025-09-06,Motor,751.0,886.18,New York,Pending,Card,2025-09-06,1Y,365,2026-09-05,CUST0098
2025-08-20,Medical,978.0,1154.04,New York,Pending,Online,2025-08-20,1Y,365,2026-08-19,CUST0099
2025-02-20,Medical,1097.0,1294.46,Los Angeles,Pending,Card,2025-02-20,1Y,365,2026-02-19,CUST0100
2025-10-31,Motor,809.0,954.62,New York,Paid,Bank Transfer,2025-10-31,1Y,365,2026-10-30,CUST0101
2025-03-14,Travel,1073.0,1266.14,Atlanta,Paid,Bank Transfer,2025-03-14,1Y,365,2026-03-13,CUST0102
2025-10-20,Medical,838.0,988.84,Houston,Pending,Card,2025-10-20,1Y,365,2026-10-19,CUST0103
2025-01-03,Medical,834.0,984.12,Miami,Pending,Online,2025-01-03,1Y,365,2026-01-02,CUST0104
2025-10-18,Medical,736.0,868.48,Chicago,Paid,Card,2025-10-18,1Y,365,2026-10-17,CUST0105
2025-10-14,Medical,869.0,1025.42,Los Angeles,Paid,Bank Transfer,2025-10-14,1Y,365,2026-10-13,CUST0106
2025-10-12,Medical,899.0,1060.82,Houston,Paid,Bank Transfer,2025-10-12,1Y,365,2026-10-11,CUST0107
2025-08-31,Motor,966.0,1139.88,Los Angeles,Paid,Online,2025-08-31,1Y,365,2026-08-30,CUST0108
2025-06-21,Travel,763.0,900.34,Los Angeles,Paid,Bank Transfer,2025-06-21,6M,180,2025-12-17,CUST0109
2025-09-14,Medical,775.0,914.5,Houston,Pending,Online,2025-09-14,1Y,365,2026-09-13,CUST0110
2025-04-11,Travel,873.0,1030.14,Houston,Pending,Online,2025-04-11,1Y,365,2026-04-10,CUST0111
2025-10-12,Motor,727.0,857.86,Boston,Paid,Card,2025-10-12,1Y,365,2026-10-11,CUST0112
2025-07-22,Medical,757.0,893.26,Los Angeles,Paid,Online,2025-07-22,3M,90,2025-10-19,CUST0113
2025-06-17,Motor,952.0,1123.36,Houston,Paid,Online,2025-06-17,1Y,365,2026-06-16,CUST0114
2025-07-04,Medical,1082.0,1276.76,New York,Paid,Card,2025-07-04,1Y,365,2026-07-03,CUST0115
2025-07-27,Medical,929.0,1096.22,Los Angeles,Paid,Bank Transfer,2025-07-27,1Y,365,2026-07-26,CUST0116
2025-01-14,Medical,758.0,894.44,Miami,Paid,Card,2025-01-14,1Y,365,2026-01-13,CUST0117
2025-02-20,Travel,1097.0,1294.46,New York,Paid,Bank Transfer,2025-02-20,1Y,365,2026-02-19,CUST0118
2025-03-31,Motor,909.0,1072.62,Phoenix,Paid,Card,2025-03-31,1Y,365,2026-03-30,CUST0119
2025-02-11,Motor,987.0,1164.66,Chicago,Paid,Cash,2025-02-11,1Y,365,2026-02-10,CUST0120
2025-06-10,Motor,778.0,918.04,New York,Paid,Card,2025-06-10,1Y,365,2026-06-09,CUST0121
2025-09-01,Travel,931.0,1098.58,Atlanta,Paid,Bank Transfer,2025-09-01,1M,30,2025-09-30,CUST0122
2025-08-27,Medical,730.0,861.4,Chicago,Paid,Card,2025-08-27,1Y,365,2026-08-26,CUST0123
2025-06-21,Other,950.0,1121.0,Dallas,Paid,Cash,2025-06-21,3M,90,2025-09-18,CUST0124
2025-11-08,Medical,781.0,921.58,Chicago,Paid,Bank Transfer,2025-11-08,6M,180,2026-05-06,CUST0125
2025-07-25,Travel,1064.0,1255.52,Atlanta,Paid,Bank Transfer,2025-07-25,6M,180,2026-01-20,CUST0126
2025-01-29,Travel,,,Los Angeles,Paid,Card,2025-01-29,1Y,365,2026-01-28,CUST0127
2025-10-06,Motor,961.0,1133.98,Chicago,Failed,Card,2025-10-06,1Y,365,2026-10-05,CUST0128
2025-07-29,Medical,755.0,890.9,Dallas,Paid,Card,2025-07-29,1Y,365,2026-07-28,CUST0129
2025-08-20,Travel,975.0,1150.5,Los Angeles,Paid,Online,2025-08-20,1Y,365,2026-08-19,CUST0130
2025-07-25,Motor,897.0,1058.46,Chicago,Paid,Card,2025-07-25,1Y,365,2026-07-24,CUST0131
2025-07-21,Other,1087.0,1282.66,Boston,Pending,Cash,2025-07-21,1Y,365,2026-07-20,CUST0132
2025-02-02,Travel,961.0,1133.98,Phoenix,Failed,Card,2025-02-02,1Y,365,2026-02-01,CUST0133
2025-07-23,Motor,849.0,1001.82,Miami,Paid,Cash,2025-07-23,1Y,365,2026-07-22,CUST0134
2025-10-17,Medical,735.0,867.3,Miami,Paid,Card,2025-10-17,1Y,365,2026-10-16,CUST0135
2025-04-21,Medical,938.0,1106.84,Seattle,Paid,Bank Transfer,2025-04-21,1Y,365,2026-04-20,CUST0136
2025-08-08,Medical,876.0,1033.68,Seattle,Paid,Card,2025-08-08,1Y,365,2026-08-07,CUST0137
2025-01-12,Travel,721.0,850.78,Phoenix,Paid,Card,2025-01-12,1Y,365,2026-01-11,CUST0138
2025-05-07,Travel,933.0,1100.94,Los Angeles,Paid,Card,2025-05-07,1Y,365,2026-05-06,CUST0139
2025-06-08,Medical,784.0,925.12,New York,Failed,Card,2025-06-08,1Y,365,2026-06-07,CUST0140
2025-12-24,Other,793.0,935.74,Phoenix,,Bank Transfer,2025-12-24,1Y,365,2026-12-23,CUST0141
2025-03-20,Motor,703.0,829.54,Seattle,Paid,Online,2025-03-20,1Y,365,2026-03-19,CUST0142
2025-04-11,Travel,849.0,1001.82,Houston,Refunded,Bank Transfer,2025-04-11,1Y,365,2026-04-10,CUST0143
2025-05-29,Medical,787.0,928.66,New York,Paid,Online,2025-05-29,1Y,365,2026-05-28,CUST0144
2025-12-28,Medical,728.0,859.04,Los Angeles,Paid,Bank Transfer,2025-12-28,6M,180,2026-06-25,CUST0145
2025-11-07,Motor,874.0,1031.32,Houston,Pending,Card,2025-11-07,6M,180,2026-05-05,CUST0146
2025-01-13,Motor,788.0,929.84,Seattle,Paid,Card,2025-01-13,1Y,365,2026-01-12,CUST0147
2025-03-27,Motor,753.0,888.54,New York,Paid,Card,2025-03-27,1Y,365,2026-03-26,CUST0148
2025-10-27,Travel,887.0,1046.66,Phoenix,Paid,Card,2025-10-27,1Y,365,2026-10-26,CUST0149
2025-01-22,Travel,725.0,855.5,Dallas,Paid,Online,2025-01-22,1Y,365,2026-01-21,CUST0150
2025-11-08,Medical,1097.0,1294.46,Atlanta,Paid,Cash,2025-11-08,1Y,365,2026-11-07,CUST0151
2025-04-13,Medical,888.0,1047.84,New York,Paid,Bank Transfer,2025-04-13,3M,90,2025-07-11,CUST0152
2025-12-01,Medical,1099.0,1296.82,Atlanta,Paid,Bank Transfer,2025-12-01,6M,180,2026-05-29,CUST0153
2025-04-17,Travel,1053.0,1242.54,Phoenix,Paid,Card,2025-04-17,1Y,365,2026-04-16,CUST0154
2025-06-08,Medical,1092.0,1288.56,Dallas,Paid,Bank Transfer,2025-06-08,1Y,365,2026-06-07,CUST0155
2025-08-29,Motor,917.0,1082.06,New York,Pending,Card,2025-08-29,6M,180,2026-02-24,CUST0156
2025-02-15,Other,869.0,1025.42,Houston,Paid,Card,2025-02-15,1Y,365,2026-02-14,CUST0157
2025-07-22,Motor,988.0,1165.84,Miami,Paid,Card,2025-07-22,1Y,365,2026-07-21,CUST0158
2025-07-03,Travel,732.0,863.76,Los Angeles,Pending,Card,2025-07-03,1Y,365,2026-07-02,CUST0159
2025-10-13,Medical,1036.0,1222.48,Chicago,Pending,Cash,2025-10-13,1Y,365,2026-10-12,CUST0160
2025-12-29,Motor,829.0,978.22,Phoenix,Paid,Card,2025-12-29,6M,180,2026-06-26,CUST0161
2025-08-30,Medical,702.0,828.36,Phoenix,Pending,Card,2025-08-30,3M,90,2025-11-27,CUST0162
2025-05-29,Medical,795.0,938.1,New York,Pending,Online,2025-05-29,1Y,365,2026-05-28,CUST0163
2025-05-28,Medical,797.0,940.46,Chicago,Paid,Online,2025-05-28,1Y,365,2026-05-27,CUST0164
2025-06-02,Medical,705.0,831.9,Los Angeles,Pending,Bank Transfer,2025-06-02,1Y,365,2026-06-01,CUST0165
2025-10-24,Motor,968.0,1142.24,Atlanta,Pending,Bank Transfer,2025-10-24,1Y,365,2026-10-23,CUST0166
2025-04-27,Motor,738.0,870.84,Boston,Paid,Cash,2025-04-27,3M,90,2025-07-25,CUST0167
2025-03-02,Medical,1039.0,1226.02,Los Angeles,Paid,Card,2025-03-02,1Y,365,2026-03-01,CUST0168
2025-05-02,Medical,881.0,1039.58,New York,Pending,Card,2025-05-02,1Y,365,2026-05-01,CUST0169
2025-01-09,Medical,988.0,1165.84,Los Angeles,Refunded,Card,2025-01-09,1Y,365,2026-01-08,CUST0170
2025-02-08,Medical,836.0,986.48,Houston,Paid,Card,2025-02-08,1Y,365,2026-02-07,CUST0171
2025-02-02,Medical,752.0,887.36,Atlanta,Pending,Online,2025-02-02,6M,180,2025-07-31,CUST0172
2025-10-08,Other,772.0,910.96,Houston,Pending,Cash,2025-10-08,1Y,365,2026-10-07,CUST0173
2025-09-20,Medical,958.0,1130.44,New York,Pending,Online,2025-09-20,1Y,365,2026-09-19,CUST0174
2025-09-11,Travel,987.0,1164.66,New York,Failed,Cash,2025-09-11,3M,90,2025-12-09,CUST0175
2025-06-18,Other,807.0,952.26,Los Angeles,Paid,Bank Transfer,2025-06-18,1Y,365,2026-06-17,CUST0176
2025-09-19,Other,843.0,994.74,Seattle,Paid,Cash,2025-09-19,1Y,365,2026-09-18,CUST0177
2025-02-28,Medical,1078.0,1272.04,Miami,Paid,Cash,2025-02-28,1Y,365,2026-02-27,CUST0178
2025-11-24,Other,1041.0,1228.38,Phoenix,Paid,Bank Transfer,2025-11-24,1Y,365,2026-11-23,CUST0179
2025-07-02,Motor,865.0,1020.7,Los Angeles,Paid,Card,2025-07-02,1Y,365,2026-07-01,CUST0180
2025-12-08,Motor,796.0,939.28,Atlanta,Pending,Bank Transfer,2025-12-08,1Y,365,2026-12-07,CUST0181
2025-02-25,Medical,820.0,967.6,Los Angeles,Failed,Card,2025-02-25,1Y,365,2026-02-24,CUST0182
2025-07-01,Medical,915.0,1079.7,Seattle,Paid,Bank Transfer,2025-07-01,1Y,365,2026-06-30,CUST0183
2025-09-11,Medical,927.0,1093.86,Atlanta,Pending,Card,2025-09-11,1Y,365,2026-09-10,CUST0184
2025-06-30,Travel,773.0,912.14,Houston,Paid,Bank Transfer,2025-06-30,1Y,365,2026-06-29,CUST0185
2025-06-12,Travel,726.0,856.68,Atlanta,Paid,Card,2025-06-12,1Y,365,2026-06-11,CUST0186
2025-03-02,Motor,898.0,1059.64,Los Angeles,Paid,Card,2025-03-02,1Y,365,2026-03-01,CUST0187
2025-05-19,Travel,1019.0,1202.42,Miami,Paid,Bank Transfer,2025-05-19,1Y,365,2026-05-18,CUST0188
2025-03-28,Travel,761.0,897.98,New York,Paid,Card,2025-03-28,1Y,365,2026-03-27,CUST0189
2025-04-20,Motor,863.0,1018.34,Houston,Pending,Online,2025-04-20,1Y,365,2026-04-19,CUST0190
2025-09-06,Motor,764.0,901.52,,Paid,Card,2025-09-06,1Y,365,2026-09-05,CUST0191
2025-08-18,Motor,797.0,940.46,New York,Paid,Card,2025-08-18,1Y,365,2026-08-17,CUST0192
2025-08-10,Medical,945.0,1115.1,New York,Paid,Card,2025-08-10,1Y,365,2026-08-09,CUST0193
2025-05-12,Travel,814.0,960.52,Los Angeles,Paid,Online,2025-05-12,1Y,365,2026-05-11,CUST0194
2025-12-16,Medical,805.0,949.9,Phoenix,Refunded,Bank Transfer,2025-12-16,1Y,365,2026-12-15,CUST0195
2025-02-01,Travel,1099.0,1296.82,Houston,Failed,Card,2025-02-01,1Y,365,2026-01-31,CUST0196
2025-05-05,Motor,769.0,907.42,Los Angeles,Paid,Card,2025-05-05,6M,180,2025-10-31,CUST0197
2025-02-12,Medical,775.0,914.5,Boston,Paid,Cash,2025-02-12,1Y,365,2026-02-11,CUST0198
2025-05-04,Medical,1072.0,1264.96,Atlanta,Paid,Online,2025-05-04,1Y,365,2026-05-03,CUST0199
2025-12-17,Medical,,,New York,Paid,Card,2025-12-17,1Y,365,2026-12-16,CUST0200
2025-05-14,Other,717.0,846.06,Chicago,Paid,Card,2025-05-14,1Y,365,2026-05-13,CUST0201
2025-11-27,Motor,870.0,1026.6,Miami,Paid,Card,2025-11-27,1Y,365,2026-11-26,CUST0202
2025-06-30,Medical,926.0,1092.68,Dallas,Paid,Card,2025-06-30,1Y,365,2026-06-29,CUST0203
2025-09-12,Travel,801.0,945.18,Chicago,Paid,Cash,2025-09-12,1Y,365,2026-09-11,CUST0204
2025-06-16,Motor,919.0,1084.42,Dallas,Paid,Online,2025-06-16,6M,180,2025-12-12,CUST0205
2025-04-07,Motor,960.0,1132.8,New York,Paid,Online,2025-04-07,1Y,365,2026-04-06,CUST0206
2025-10-06,Travel,800.0,944.0,Los Angeles,Paid,Cash,2025-10-06,1Y,365,2026-10-05,CUST0207
2025-12-19,Motor,1025.0,1209.5,Miami,Paid,Card,2025-12-19,1Y,365,2026-12-18,CUST0208
2025-04-06,Travel,881.0,1039.58,Miami,Paid,Online,2025-04-06,1Y,365,2026-04-05,CUST0209
2025-10-11,Motor,1086.0,1281.48,Seattle,Paid,Card,2025-10-11,1Y,365,2026-10-10,CUST0210
2025-04-06,Travel,735.0,867.3,New York,Paid,Card,2025-04-06,1Y,365,2026-04-05,CUST0211
2025-09-18,Motor,830.0,979.4,New York,Pending,Cash,2025-09-18,1Y,365,2026-09-17,CUST0212
2025-10-15,Other,989.0,1167.02,New York,Failed,Card,2025-10-15,1Y,365,2026-10-14,CUST0213
2025-06-13,Medical,1058.0,1248.44,New York,Paid,Online,2025-06-13,1Y,365,2026-06-12,CUST0214
2025-09-26,Motor,788.0,929.84,New York,Failed,Online,2025-09-26,1Y,365,2026-09-25,CUST0215
2025-04-10,Motor,1093.0,1289.74,Houston,Pending,Cash,2025-04-10,1Y,365,2026-04-09,CUST0216
2025-01-29,Medical,777.0,916.86,Houston,Paid,Cash,2025-01-29,1Y,365,2026-01-28,CUST0217
2025-02-05,Travel,866.0,1021.88,Miami,Paid,Card,2025-02-05,1Y,365,2026-02-04,CUST0218
2025-06-12,Medical,826.0,974.68,Chicago,Paid,Card,2025-06-12,1Y,365,2026-06-11,CUST0219
2025-11-25,Medical,870.0,1026.6,New York,Paid,Cash,2025-11-25,1M,30,2025-12-24,CUST0220
2025-02-16,Motor,1061.0,1251.98,Miami,Refunded,Bank Transfer,2025-02-16,1Y,365,2026-02-15,CUST0221
2025-06-15,Medical,993.0,1171.74,New York,Paid,Online,2025-06-15,6M,180,2025-12-11,CUST0222
2025-09-14,Motor,1019.0,1202.42,Seattle,Paid,Card,2025-09-14,1Y,365,2026-09-13,CUST0223
2025-03-15,Medical,801.0,945.18,New York,Paid,Card,2025-03-15,1Y,365,2026-03-14,CUST0224
2025-09-20,Medical,1079.0,1273.22,Houston,Paid,Card,2025-09-20,1Y,365,2026-09-19,CUST0225
2025-04-22,Other,874.0,1031.32,Atlanta,Paid,Cash,2025-04-22,1Y,365,2026-04-21,CUST0226
2025-10-22,Medical,961.0,1133.98,Phoenix,Paid,Cash,2025-10-22,1Y,365,2026-10-21,CUST0227
2025-07-30,Medical,979.0,1155.22,Phoenix,Paid,Online,2025-07-30,1Y,365,2026-07-29,CUST0228
2025-07-19,Motor,965.0,1138.7,Miami,,Card,2025-07-19,1Y,365,2026-07-18,CUST0229
2025-03-06,Medical,941.0,1110.38,New York,Paid,Bank Transfer,2025-03-06,1Y,365,2026-03-05,CUST0230
2025-06-18,Travel,892.0,1052.56,Miami,Paid,Card,2025-06-18,1Y,365,2026-06-17,CUST0231
2025-11-08,Other,959.0,1131.62,Atlanta,Pending,Card,2025-11-08,1Y,365,2026-11-07,CUST0232
2025-01-08,Medical,1062.0,1253.16,Boston,Paid,Card,2025-01-08,6M,180,2025-07-06,CUST0233
2025-10-04,Motor,,,Chicago,Paid,Bank Transfer,2025-10-04,1Y,365,2026-10-03,CUST0234
2025-06-29,Motor,904.0,1066.72,Los Angeles,Pending,Bank Transfer,2025-06-29,1Y,365,2026-06-28,CUST0235
2025-09-19,Travel,772.0,910.96,Dallas,Paid,Card,2025-09-19,1Y,365,2026-09-18,CUST0236
